resource,type,title,alternate title,author,orcid,organization,collection,url,abstract,tags,themes,extentWKT,year,beginning date,end date,associated resource title 1,associated resource URL 1,associated resource title 2,associated resource URL 2,associated resource title 3,associated resource URL 3,id,spatialReference,thumbnailUrl,itemUrl,detailsPageUrl,numViews,created,size,geographic extent,west,south,east,north
dataset,Feature Service,Administrative Units Maya Forest Guatemala,"Administrative Units, Maya Forest, Guatemala, 2000",Anabel Ford,orcid.org/0000-0001-7310-0684,MesoAmerican Research Center,Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/AdminUnits_MayaForestGuatemala2000/FeatureServer,"Shapefile of the administrative units of the the Maya Biosphere Reserve (RBM). Polygons represent national parks, biotopos, multiple use zone, bufferzone, natural and cultural monuments. From the collection &quot;Settlements and Land Use Intensity in the Prehistoric Maya Forest","Administrative,Peten,Guatemala,Maya Biosphere Reserve",boundaries,"POLYGON(-91.453031643567 17.8434522683333,-89.139046831442 17.8434522683333,-89.139046831442 16.6582944584292,-91.453031643567 16.6582944584292,-91.453031643567 17.8434522683333)",2000,3/1/00,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p3,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,72c9d66eb0924639bc6fb1d9805ef622,,https://www.arcgis.com/sharing/rest/content/items/72c9d66eb0924639bc6fb1d9805ef622/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/72c9d66eb0924639bc6fb1d9805ef622,https://www.arcgis.com/home/item.html?id=72c9d66eb0924639bc6fb1d9805ef622,81,2015-008-004 15:09:46,548864,"-91.453031643567,16.658294458429204,-89.139046831442,17.84345226833337",-91.45303164,16.65829446,-89.13904683,17.84345227
dataset,Feature Service,Archaeological Sites Maya Forest GIS,"Archaeological Sites, Maya Forest, Guatemala, 1995 ",Anabel Ford,orcid.org/0000-0001-7310-0684,MesoAmerican Research Center,Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/ArchaeologicalSites_MayaForestGIS/FeatureServer,"This is a digital database of the Maya Forest Region of Mexico, Guatemala, and Belize. Coverages presented here are ArcView Shape files. The projection is UTM Zone 16, using the NAD 1927 datum and the Clarke 1866 spheroid. This coverage contains point locations and names for 530 archaeological sites identified from various sources for the project area.","archaeological,Maya Forest,Guatemala",society,"POLYGON(-93.7317456246681 21.56268087862,-86.7662942023035 21.56268087862,-86.7662942023035 13.2423804021323,-93.7317456246681 13.2423804021323,-93.7317456246681 21.56268087862)",1995,8/1/95,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p4,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,1a3a1295bf2e4cafab64580182d15367,,https://www.arcgis.com/sharing/rest/content/items/1a3a1295bf2e4cafab64580182d15367/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/1a3a1295bf2e4cafab64580182d15367,https://www.arcgis.com/home/item.html?id=1a3a1295bf2e4cafab64580182d15367,204,2015-008-10 14:09:20,196608,"-93.73174562466818,13.242380402132387,-86.7662942023035,21.562680878620007",-93.73174562,13.2423804,-86.7662942,21.56268088
dataset,Image,Archaeology Sites Analysis Maya Forest GIS,"Archaeological Sites Analysis, Maya Forest, Guatemala, 1999",Anabel Ford,orcid.org/0000-0001-7310-0684,MesoAmerican Research Center,Maya Forest GIS,http://ucsb.maps.arcgis.com/sharing/rest/content/items/51c7cfae5d0c4219abbd44b6a25a5690/data,"Likelihood of new sites calculated from soil group name, fertility level and existing site locations on a 1 kilometer grid. Data from Simmons soil map, 1959. Prepared for Dr. Anabel Ford, 21 October 1999 by Paul Van Zuyle. Projection: UTM Zone 16","Peten,Maya Forest,Map","geoscientific, society","POLYGON(-91.7712 15.7198,-88.4424 15.7198,-88.4424 17.9803,-91.7712 17.9803,-91.7712 15.7198)",1999,10/21/99,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p5,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,51c7cfae5d0c4219abbd44b6a25a5690,,https://www.arcgis.com/sharing/rest/content/items/51c7cfae5d0c4219abbd44b6a25a5690/info/thumbnail/ago_downloaded.jpg?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/51c7cfae5d0c4219abbd44b6a25a5690,https://www.arcgis.com/home/item.html?id=51c7cfae5d0c4219abbd44b6a25a5690,6,2015-008-006 15:14:55,295875,"-91.7712, 17.9803, -88.4424, 15.7198",-91.7712,17.9803,-88.4424,15.7198
dataset,Feature Service,Bathymetry_MayaForestGIS,"Bathymetry, Maya Forest, Guatemala-Belize-Mexico, 1995",Anabel Ford,orcid.org/0000-0001-7310-0684,"University of California, Santa Barbara",Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/Bathymetry_MayaForestGIS/FeatureServer,"This is a digital database of the Maya Forest Region of Mexico, Guatemala, and Belize. Coverages presented here are ArcView Shape files. The projection is UTM Zone 16, using the NAD 1927 datum and the Clarke 1866 spheroid. This coverage contains line features representing coastlines, international boundaries, study area boundaries and the 20-meter isobath line for the coasts of Belize, Guatemala, Hounduras and Mexico.","bathymetry,Maya Forest,Guatemala,Mexico,Belize,Honduras,coastline,boundaries","boundaries, oceans","POLYGON(-94.801449 21.120312,-83.52457 21.120312,-83.52457 15.285044,-94.801449 15.285044,-94.801449 21.120312)",1995,8/1/95,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p6,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,eab749458c7745529f8061eba664555d,,https://www.arcgis.com/sharing/rest/content/items/eab749458c7745529f8061eba664555d/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/eab749458c7745529f8061eba664555d,https://www.arcgis.com/home/item.html?id=eab749458c7745529f8061eba664555d,28,2015-008-10 14:13:18,3407872,"-94.801449,15.285044,-83.52457,21.120312",-94.801449,15.285044,-83.52457,21.120312
dataset,Map Service,BiosphereReserveDEM_MayaForestGIS,"DEM, Maya Forest, 2007",Anabel Ford,orcid.org/0000-0001-7310-0684,"University of California, Santa Barbara",Maya Forest GIS,https://tiles.arcgis.com/tiles/4TXrdeWh0RyCqPgB/arcgis/rest/services/BiosphereReserveDEM_MayaForestGIS/MapServer,"This is a digital elevation model of the available section of the Maya Biosphere Reserve. From the collection ""Settlements and Land Use Intensity in the Prehistoric Maya Forest""","DEM of the Maya Biosphere Reserve, Peten, Guatemala",elevation,"POLYGON(-91.4772824062746 17.8824792519693,-89.1283724489833 17.8824792519693,-89.1283724489833 16.7818144884043,-91.4772824062746 16.7818144884043,-91.4772824062746 17.8824792519693)",2007,,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p7,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,7e97b4723b13416497663388ae7fd426,NAD_1927_UTM_Zone_16N,https://www.arcgis.com/sharing/rest/content/items/7e97b4723b13416497663388ae7fd426/info/thumbnail/thumbnail.png?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/7e97b4723b13416497663388ae7fd426,https://www.arcgis.com/home/item.html?id=7e97b4723b13416497663388ae7fd426,29,2015-008-004 17:03:48,167401967,"-91.4772824062746,16.7818144884043,-89.1283724489833,17.8824792519693",-91.47728241,16.78181449,-89.12837245,17.88247925
dataset,Feature Service,CorridorsProtection_MayaForestGIS,"Corridors Protection, Maya Forest, 1997",Anabel Ford,orcid.org/0000-0001-7310-0684,"University of California, Santa Barbara",Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/CorridorsProtection_MayaForestGIS/FeatureServer,"This is a digital database of the Maya Forest Region of Mexico, Guatemala, and Belize. Coverages presented here are ArcView Shape files. The projection is UTM Zone 16, using the NAD 1927 datum and the Clarke 1866 spheroid. This is a polygon coverage containing corridors that need protection within the Maya Forest.","protection,Maya Forest,corridors",environment,"POLYGON(-94.1676869423307 19.9553627878706,-87.1965245953028 19.9553627878706,-87.1965245953028 15.5049526319404,-94.1676869423307 15.5049526319404,-94.1676869423307 19.9553627878706)",1997,1/1/97,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p8,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,784c0a3216154d23bd9883a9d56690e2,,https://www.arcgis.com/sharing/rest/content/items/784c0a3216154d23bd9883a9d56690e2/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/784c0a3216154d23bd9883a9d56690e2,https://www.arcgis.com/home/item.html?id=784c0a3216154d23bd9883a9d56690e2,25,2015-008-10 14:55:19,401408,"-94.16768694233072,15.504952631940405,-87.1965245953028,19.955362787870605",-94.16768694,15.50495263,-87.1965246,19.95536279
dataset,Feature Service,ForestTypesBelize_MayaForestGIS,"Forest Types, Belize, Maya Forest, 1995",Anabel Ford,orcid.org/0000-0001-7310-0684,"University of California, Santa Barbara",Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/ForestTypesBelize_MayaForestGIS/FeatureServer,"This is a digital database of the Maya Forest Region of Mexico, Guatemala, and Belize. Coverages presented here are ArcView Shape files. The projection is UTM Zone 16, using the NAD 1927 datum and the Clarke 1866 spheriod. This is a polygon coverage of forest cover types for the ares of Belize within the study area.","forest cover,Maya Forest,Belize",biota,"POLYGON(-89.2272006336329 18.4894815612865,-87.7725522764553 18.4894815612865,-87.7725522764553 15.8850075604055,-89.2272006336329 15.8850075604055,-89.2272006336329 18.4894815612865)",1995,8/1/95,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p9,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,b78f44310b7e4626928ca3d514c80df9,,https://www.arcgis.com/sharing/rest/content/items/b78f44310b7e4626928ca3d514c80df9/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/b78f44310b7e4626928ca3d514c80df9,https://www.arcgis.com/home/item.html?id=b78f44310b7e4626928ca3d514c80df9,29,2015-008-10 14:50:11,28557312,"-89.2272006336329,15.885007560405574,-87.7725522764553,18.489481561286585",-89.22720063,15.88500756,-87.77255228,18.48948156
dataset,Feature Service,ForestTypesGuatemala_MayaForestGIS,"Forest Types, Guatemala, Maya Forest, 1995",Anabel Ford,orcid.org/0000-0001-7310-0684,"University of California, Santa Barbara",Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/ForestTypesGuatemala_MayaForestGIS/FeatureServer,"This is a digital database of the Maya Forest Region of Mexico, Guatemala, and Belize. Coverages presented here are ArcView Shape files. The projection is UTM Zone 16, using the NAD 1927 datum and the Clarke 1866 spheroid. This is a polygon coverage of forest cover types for the areas of Guatemala within the study area.","Maya Forest,forest cover,Guatemala",biota,"POLYGON(-91.7694224193129 17.8177460914038,-89.1481456190639 17.8177460914038,-89.1481456190639 16.0008601010705,-91.7694224193129 16.0008601010705,-91.7694224193129 17.8177460914038)",1995,8/1/95,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p10,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,748c6e25571642c591af7e1548a19ffe,,https://www.arcgis.com/sharing/rest/content/items/748c6e25571642c591af7e1548a19ffe/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/748c6e25571642c591af7e1548a19ffe,https://www.arcgis.com/home/item.html?id=748c6e25571642c591af7e1548a19ffe,22,2015-008-10 15:19:51,3661824,"-91.7694224193129,16.00086010107057,-89.14814561906391,17.817746091403855",-91.76942242,16.0008601,-89.14814562,17.81774609
dataset,Feature Service,GPS Roads Maya Forest GIS,"GPS Roads, Belize, Guatemala, Maya Forest, 2000",Anabel Ford,orcid.org/0000-0001-7310-0684,"University of California, Santa Barbara",Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/GPS_Roads_Maya_Forest_GIS/FeatureServer,"In the 2000 field season of the BRASS/El Pilar Program, the UCSB Maya Forest GIS collected and processed GPS data for drivable roads in parts of Western Belize and the Peten of Guatemala. Selected for the work were Garmin GPS units accurate from 3-10m (after the US government released Selective Availability SA of error).","roads,Maya Forest",transportation,"POLYGON(-89.923821736315 17.2862464179882,-88.8216028054569 17.2862464179882,-88.8216028054569 15.484317250572,-89.923821736315 15.484317250572,-89.923821736315 17.2862464179882)",2000,1/1/00,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p11,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,79f8988db7af4df9927d47ff746257b4,,https://www.arcgis.com/sharing/rest/content/items/79f8988db7af4df9927d47ff746257b4/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/79f8988db7af4df9927d47ff746257b4,https://www.arcgis.com/home/item.html?id=79f8988db7af4df9927d47ff746257b4,27,2015-008-004 17:51:07,442368,"-89.923821736315,15.48431725057201,-88.82160280545698,17.286246417988224",-89.92382174,15.48431725,-88.82160281,17.28624642
dataset,Feature Service,Lakes_MayaForestGIS,"Lakes, Maya Forest, 2000",Anabel Ford,orcid.org/0000-0001-7310-0684,"University of California, Santa Barbara",Maya Forest GIS,https://services1.arcgis.com/4TXrdeWh0RyCqPgB/arcgis/rest/services/Lakes_MayaForestGIS/FeatureServer,"Shapefile of the lakes and rivers wide enough to be represented as polygons in the Maya Biosphere Reserve. From the collection ""Settlements and Land Use Intensity in the Prehistoric Maya Forest""","Guatemala,lakes,Maya Forest",inlandWaters,"POLYGON(-91.2375131775877 17.8157833464939,-89.1417822199403 17.8157833464939,-89.1417822199403 16.6669839351333,-91.2375131775877 16.6669839351333,-91.2375131775877 17.8157833464939)",2000,3/1/00,,"Assessing the Situation at El Pilar: Chronology, Survey, Conservation, and Management Planning for the 21st Century",http://escholarship.org/uc/item/4qr2x8p12,Influence of Ancient Settlement in the Contemporary Maya Forest: Investigating Land Use at El Pilar,http://escholarship.org/uc/item/8zj2b2zq,,,d56d6ba211df448488f7e427a6d8218f,,https://www.arcgis.com/sharing/rest/content/items/d56d6ba211df448488f7e427a6d8218f/info/thumbnail/thumbnail.JPEG?token=cyqwQoy3HnuUthaj8Fx6-zc2jxakZ2WXEgOOIYNH6CO8N9FYndUkJdgbjgl65u1TnZxdhcUOxdPYK7Pyrn94v2vlM4x1HNfBb2lAtET5N3amYjsiWR2QK4sJMjjVjkokbmAuiZ-kC51UJjRJfmdoyoPXbudG3LHsAitw6OV0rMo6A6kHTr5HONDdxNVrDDaWjzaF2rmDlQAam1y2GIxktA..,https://www.arcgis.com/sharing/rest/content/items/d56d6ba211df448488f7e427a6d8218f,https://www.arcgis.com/home/item.html?id=d56d6ba211df448488f7e427a6d8218f,28,2015-008-10 13:51:22,2899968,"-91.23751317758777,16.666983935133366,-89.14178221994038,17.815783346493994",-91.23751318,16.66698394,-89.14178222,17.81578335
